Id,name,gender,attribute,modularity_class,X,Y,Size,Color
315,F. von Allmen,m,person,1,-301.952393,-302.628662,30,"#c0c0c0"
318,F. Mernissi,w,person,78,-164.366287,-1206.511475,30,"#d3b3b0"
320,C. Chrétien,w,person,61,-175.659973,121.189346,30,"#c0c0c0"
321,B. Elsener,w,person,6,2089.470215,-589.210693,30,"#ff8805"
322,C. Enz,m,person,79,944.642822,-97.706573,30,"#73c000"
323,Pdr D. S. Felici,m,person,62,-459.029144,488.065979,30,"#c0c0c0"
324,B. Heintz,w,person,74,240.431656,24.80147,30,"#00bd94"
325,R. Högger,m,person,58,622.191528,217.268234,30,"#4c463e"
326,O. Kübler,m,person,79,551.96344,-56.933304,30,"#73c000"
327,A. Lazcano,m,person,11,-93.665863,-1427.676147,30,"#00c4ff"
328,R. Matschuck,m,person,63,-307.054138,-243.324829,30,"#c0c0c0"
329,P. McCorduck,w,person,64,-155.032898,-660.079651,30,"#c0c0c0"
330,K. A. Müller,m,person,79,790.982971,-235.615631,30,"#73c000"
331,M. Pogacnik,m,person,65,-316.535156,-61.813354,30,"#c0c0c0"
332,T. Regge,m,person,4,1722.396606,-739.611328,30,"#df89ff"
333,M. Vetter,m,person,4,1303.953857,-1493.047241,30,"#df89ff"
334,M. Zimmermann,w,person,66,-183.036743,360.155884,30,"#c0c0c0"
335,A. Dreiding,m,person,67,-458.259735,426.541046,30,"#c0c0c0"
336,S. Ris,m,person,68,-162.745453,-177.599014,30,"#c0c0c0"
337,G. Weissmann,m,person,4,2131.548828,-1643.408447,30,"#df89ff"
338,K. Hungerbühler,m,person,69,-430.66272,-543.128601,30,"#c0c0c0"
347,M. Buchmann,w,person,70,-321.173645,55.411163,30,"#c0c0c0"
348,K. Osterwalder,m,person,71,-288.898743,-664.869629,30,"#c0c0c0"
349,G. Haffelder,m,person,72,-323.15329,179.959747,30,"#c0c0c0"
350,V. Vaidya,m,person,6,2138.990234,-538.504395,30,"#ff8805"
351,H. Morgenstern,m,person,6,2167.473633,-807.893738,30,"#ff8805"
352,J. Maddox,m,person,76,1999.610474,445.567078,30,"#c0c0c0"
353,L. Steels,m,person,11,-465.04422,-1243.572998,30,"#00c4ff"
