;pk_participation;pk_event;fk_person;country;institute;occupation;subject
65;462;1992;224.0;Schweiz;;Akademisch;
66;463;1992;315.0;Schweiz;;not available;
67;464;1992;29.0;Schweiz;;Chemiker:in;
68;465;1992;726.0;Schweiz;;not available;
69;466;1992;708.0;Schweiz;;MA;
70;467;1992;200.0;Schweiz;;MA;Mikrobiologie
71;468;1992;74.0;Deutschland;;not available;
72;469;1992;340.0;Schweiz;;DO;Biologie
73;470;1992;249.0;Schweiz;;MA;El. Ing.
74;471;1992;346.0;Schweiz;;Akademisch;
75;472;1992;416.0;Schweiz;Kant. Maturitätsschule;Schüler:in;
76;473;1992;201.0;Schweiz;;Therapie;
77;474;1992;644.0;Italien;;Künstler:in;
78;475;1992;211.0;Italien;;not available;
79;476;1992;607.0;Schweiz;;Dozent:in;
80;477;1992;342.0;Schweiz;;Akademisch;
81;478;1992;77.0;Schweiz;;Therapie;
82;479;1992;462.0;Schweiz;ETH-Z;MA;
83;480;1992;547.0;Italien;;Dozent:in;
84;481;1992;722.0;USA;;Akademisch;
85;482;1992;238.0;Marokko;;Dozent:in;
86;483;1992;30.0;Schweiz;;DO;Physik
87;484;1992;672.0;Schweiz;;DO;Umweltchemie
88;485;1992;676.0;Schweiz;;Office;
89;486;1992;718.0;Schweiz;;Künstler:in;
90;487;1992;583.0;Schweiz;;Chemiker:in;
91;488;1992;212.0;Schweiz;;not available;
92;489;1992;356.0;Schweiz;;Dozent:in;
93;490;1992;357.0;USA;;Unternehmer:in;
94;491;1992;683.0;Schweiz;;not available;
95;492;1992;777.0;Schweiz;;not available;
96;493;1992;183.0;Italien;;Künstler:in;
97;494;1992;789.0;Schweiz;;ST;Musikwissenschaften
98;495;1992;302.0;Schweiz;;Dozent:in;
99;496;1992;377.0;Deutschland;;Medizin;
100;497;1992;451.0;Schweiz;;ST;Phil. I
101;498;1992;326.0;Deutschland;;Therapie;
102;499;1992;518.0;Schweiz;ETH-Z;MA;
103;500;1992;554.0;Schweiz;;ST;Phil. I
104;501;1992;728.0;Schweiz;;DO;Geotechnik
105;502;1992;151.0;Schweiz;;Therapie;
106;503;1992;509.0;Schweiz;;DO;Umweltnaturwissenschaften
107;504;1992;396.0;Schweiz;;DO;Pharmazie
108;505;1992;493.0;Schweiz;HSG;DO;
109;506;1992;66.0;Schweiz;;not available;
110;507;1992;745.0;Schweiz;;DO;Chemie
111;508;1992;78.0;Schweiz;EAWAG;MA;
112;509;1992;351.0;Schweiz;HSG;Akademisch;BWL
113;510;1992;205.0;Deutschland;;Dozent:in;
114;511;1992;512.0;Schweiz;;Künstler:in;
115;512;1992;355.0;Schweiz;;ST;Psychologie
116;513;1992;103.0;Schweiz;;Therapie;
117;514;1992;186.0;USA;;not available;
118;515;1992;539.0;Deutschland;Uni Hamburg;ST;
119;516;1992;713.0;Schweiz;;not available;
120;517;1992;197.0;Schweiz;;DO;Elektronik
121;518;1992;404.0;Schweiz;;DO;EAWAG
122;519;1992;280.0;Schweiz;;Künstler:in;
123;520;1992;678.0;Schweiz;;ST;SST
124;521;1992;132.0;Schweiz;;Dozent:in;
125;522;1992;485.0;Schweiz;ETH-Z;MA;
126;523;1992;577.0;Italien;;not available;
127;524;1992;455.0;Schweiz;;Künstler:in;
128;525;1992;244.0;Frankreich;;Dozent:in;
129;526;1992;210.0;Italien;;Office;
130;527;1992;422.0;Schweiz;;Chemiker:in;
131;528;1992;770.0;Schweiz;;Na;
132;529;1992;349.0;Schweiz;;MA;Nat.Fonds Projekt
133;530;1992;524.0;Schweiz;;ST;Chemie
134;531;1992;600.0;Schweiz;;Chemiker:in;
135;532;1992;127.0;Schweiz;;Chemiker:in;
136;533;1992;166.0;Deutschland;;Therapie;
137;534;1992;629.0;Schweiz;;DO;Biologie
138;535;1992;84.0;Schweiz;;DO;Bauingenieur
139;536;1992;283.0;Schweiz;;ST;Elektronik
140;537;1992;18.0;Schweiz;;DO;Umweltchemie
141;538;1992;96.0;Schweiz;;Chemiker:in;
142;539;1992;646.0;Schweiz;;DO;Chemie
143;540;1992;701.0;Schweiz;;DO;Planung/Betrieb
144;541;1992;693.0;Deutschland;;ST;Zahnmedizin
145;542;1992;80.0;Schweiz;;ST;
146;543;1992;372.0;Schweiz;;Künstler:in;
147;544;1992;11.0;Schweiz;;not available;
148;545;1992;689.0;Schweiz;;Akademisch;
149;546;1992;308.0;Schweiz;;Medizin;
0;547;1994;74.0;Deutschland;;Medizin;
1;548;1994;290.0;Schweiz;;not available;
2;549;1994;563.0;Schweiz;ETH-Z;Dozent:in;
3;550;1994;400.0;Schweiz;Kant. Maturitätsschule;ST;
4;551;1994;201.0;Schweiz;;Therapie;
5;552;1994;54.0;Schweiz;Universidad México;Dozent:in;
6;553;1994;307.0;Schweiz;;ST;Geographie
7;554;1994;530.0;Schweiz;ETH-Z;DO;Analytische Chemie
8;555;1994;607.0;Schweiz;ETH-Z;Dozent:in;
9;556;1994;342.0;Schweiz;;not available;
10;557;1994;77.0;Schweiz;ETH-Z;MA;
11;558;1994;252.0;Schweiz;;not available;
12;559;1994;192.0;Schweiz;Uni Bern;Dozent:in;
13;560;1994;594.0;Schweiz;ETH-Z;Akademisch;
14;561;1994;618.0;Schweiz;;Künstler:in;
15;562;1994;547.0;Schweiz;;Therapie;
16;563;1994;508.0;Schweiz;ETH-Z;DO;Chemie
17;564;1994;567.0;USA;;not available;
18;565;1994;314.0;Schweiz;;Medizin;
19;566;1994;721.0;Schweiz;;ST;Phil I.
20;567;1994;718.0;Schweiz;;Künstler:in;
21;568;1994;419.0;Schweiz;ETH-Z;ST;Chemie
22;569;1994;177.0;Schweiz;ETH-Z;DO;Stoffhaushalt
23;570;1994;397.0;Schweiz;;not available;
24;571;1994;756.0;Schweiz;ETH-Z;Dozent:in;
25;572;1994;458.0;Schweiz;ETH-Z;ST;Abt. Xb
26;573;1994;758.0;Schweiz;;Künstler:in;
27;574;1994;356.0;Schweiz;ETH-Z;Dozent:in;
