Source,Target,Type,Id,Label,Weight,attribute,Color
228,2045,Undirected,475,,1,pursuit_organization,"#000000"
239,2045,Undirected,476,,1,pursuit_organization,"#000000"
256,2045,Undirected,477,,1,pursuit_organization,"#000000"
276,2045,Undirected,478,,1,pursuit_organization,"#000000"
306,2045,Undirected,479,,1,pursuit_organization,"#000000"
319,2045,Undirected,480,,1,pursuit_organization,"#000000"
365,2045,Undirected,481,,1,pursuit_organization,"#000000"
33,2181,Undirected,482,,1,pursuit_organization,"#000000"
44,2181,Undirected,483,,1,pursuit_organization,"#000000"
47,2181,Undirected,484,,1,pursuit_organization,"#000000"
78,2181,Undirected,485,,1,pursuit_organization,"#000000"
82,2181,Undirected,486,,1,pursuit_organization,"#000000"
87,2181,Undirected,487,,1,pursuit_organization,"#000000"
144,2181,Undirected,488,,1,pursuit_organization,"#000000"
204,2181,Undirected,489,,1,pursuit_organization,"#000000"
228,2181,Undirected,490,,1,pursuit_organization,"#000000"
234,2181,Undirected,491,,1,pursuit_organization,"#000000"
292,2181,Undirected,492,,1,pursuit_organization,"#000000"
294,2181,Undirected,493,,1,pursuit_organization,"#000000"
306,2181,Undirected,494,,1,pursuit_organization,"#000000"
333,2181,Undirected,495,,1,pursuit_organization,"#000000"
365,2181,Undirected,496,,1,pursuit_organization,"#000000"
232,2181,Undirected,497,,1,pursuit_organization,"#000000"
368,2181,Undirected,498,,1,pursuit_organization,"#000000"
78,2018,Undirected,499,,1,pursuit_organization,"#000000"
204,2018,Undirected,500,,1,pursuit_organization,"#000000"
325,2182,Undirected,501,,1,pursuit_organization,"#000000"
97,2001,Undirected,502,,1,pursuit_organization,"#000000"
97,2026,Undirected,503,,1,pursuit_organization,"#000000"
96,2026,Undirected,504,,1,pursuit_organization,"#000000"
349,2183,Undirected,505,,1,pursuit_organization,"#000000"
369,2181,Undirected,506,,1,pursuit_organization,"#000000"
369,2045,Undirected,507,,1,pursuit_organization,"#000000"
47,2018,Undirected,508,,1,pursuit_organization,"#000000"
47,2185,Undirected,509,,1,pursuit_organization,"#000000"
47,2035,Undirected,510,,1,pursuit_organization,"#000000"
360,2001,Undirected,511,,1,pursuit_organization,"#000000"
352,2186,Undirected,512,,1,pursuit_organization,"#000000"
352,2186,Undirected,513,,1,pursuit_organization,"#000000"
286,2110,Undirected,514,,1,pursuit_organization,"#000000"
351,2188,Undirected,515,,1,pursuit_organization,"#000000"
351,2187,Undirected,516,,1,pursuit_organization,"#000000"
6,2188,Undirected,517,,1,pursuit_organization,"#000000"
