Id,Label,name,attribute,event_id,meta_category,[z],Degree,modularity_class,shared_cluster,X,Y,Z,Size,Color
20093,,"Perception of the Bodyform, Postural Integration and Rolfing",workshop,3,0,1,5,3,3,414.904724,425.712524,0.009681,50,"#73c000"
20100,,Body work Scheidegger,workshop,1,0,1,2,3,3,670.898865,-359.303345,0.008813,50,"#73c000"
20101,,Body work Müller,workshop,1,0,1,4,3,3,856.418701,1.545577,0.007538,50,"#73c000"
20102,,Body work Walterspiel,workshop,1,0,1,5,3,3,709.50238,239.207138,0.004862,50,"#73c000"
20103,,Body work Scheidegger 2,workshop,2,0,1,4,3,3,305.088715,-8.228709,0.008749,50,"#73c000"
20104,,Body work Müller 2,workshop,2,0,1,4,3,3,808.367798,-80.891045,0.006255,50,"#73c000"
20105,,Body work Walterspiel 2,workshop,2,0,1,5,3,3,604.865234,300.031342,0.005632,50,"#73c000"
20106,,Spannung zwischen Beruf- und Privatleben 2,workshop,2,0,1,4,6,6,-727.595886,-313.214417,0.004452,50,"#4c463e"
20107,,Interspecies Communication,workshop,3,0,1,5,5,5,-185.091339,-393.204834,0.004812,50,"#df89ff"
20108,,Geld und Magie - die Utopie der modernen Zeit. Eine Dichtung von Goethe's Faust,workshop,4,0,1,7,5,5,-263.143921,269.967682,0.00758,50,"#df89ff"
20109,,Utopie/Astrologie,workshop,4,0,1,2,7,7,767.49762,-579.695557,0.005397,50,"#00c4ff"
20110,,Frauenmystik im Mittelalter. Religiöse Utopie als Daseinsveränderung?,workshop,4,0,1,7,0,0,-295.316467,508.566315,0.005922,50,"#d3b3b0"
20111,,Mitsingen,workshop,4,0,1,2,6,6,222.901596,-784.351379,0.002678,50,"#4c463e"
20112,,Method and dream,workshop,4,0,1,7,8,8,-52.875362,92.564568,0.003712,50,"#ff5584"
20113,,Schulung der Achtsamkeit im Sinne von Graf Dürckheim,workshop,4,0,1,4,3,3,811.551758,-179.721146,0.00642,50,"#73c000"
20114,,The Mechanistic Model of Life: A Critical Reexamination in the Light of Recent Advances in Biological Knowledge,workshop,4,0,1,5,2,2,-350.128937,611.681885,0.005017,50,"#00bd94"
20115,,Anthrop-Art; Menschenkundliches zur Kunst,workshop,4,0,1,8,8,8,-456.825562,-174.990158,0.005261,50,"#ff5584"
20116,,Mut und Mitwelt,workshop,4,0,1,4,5,5,-195.914429,955.146423,0.001713,50,"#df89ff"
20117,,Focusing,workshop,4,0,1,7,7,7,215.668976,50.930218,0.002074,50,"#00c4ff"
20118,,Stein-Holz-Eisen,workshop,4,0,1,4,7,7,-386.93399,-554.524353,0.000522,50,"#00c4ff"
20119,,Feministische Solidarität: Mehr als Utopie?,workshop,4,0,1,6,0,0,-286.166992,-73.044769,0.002482,50,"#d3b3b0"
20120,,Tarot,workshop,4,0,1,4,3,3,776.703796,-290.83786,0.009274,50,"#73c000"
20121,,"Erziehung zur psychischen Ge-
sundheit",workshop,4,0,1,5,5,5,119.70829,194.220123,0.005925,50,"#df89ff"
20122,,Was geht? Was ginge?,workshop,4,0,1,3,8,8,-811.098877,-5.465647,0.009819,50,"#ff5584"
20123,,Teleskope und Weltraumsonden - unsere zukünftige Sicht des Weltalls,workshop,4,0,1,2,2,2,310.517761,1056.664185,0.007979,50,"#00bd94"
20124,,Theatre lmprovise,workshop,4,0,1,2,6,6,3.454768,-1177.720947,0.003534,50,"#4c463e"
20125,,Japan handicrafts as living languages for regaining the wholeness of human life in an age of total work divisions.,workshop,4,0,1,6,7,7,-198.073837,-160.210968,0.003905,50,"#00c4ff"
20126,,"Overtone Music. Theory 
and Praxis",workshop,4,0,1,1,6,6,411.599976,-1040.491821,0.001528,50,"#4c463e"
20127,,Personal experience with Utopia,workshop,4,0,1,2,7,7,-260.217896,-1184.949219,0.007961,50,"#00c4ff"
20128,,The integrated scientist and the courage of utopia,workshop,4,0,1,5,8,8,8.350471,824.887756,0.004064,50,"#ff5584"
20129,,Entwickeln von Zukunftsvorstellungen an einem Beispiel in der chemischen Industrie. Beschäftigung mit der Zukunft in der chemischen Industrie (im Rahmen der Industrie),workshop,4,0,1,5,8,8,-425.883392,167.89241,0.004858,50,"#ff5584"
20130,,Rolfing Movement,workshop,4,0,1,5,3,3,594.7229,-169.555923,0.00552,50,"#73c000"
20131,,Bioenergetik,workshop,4,0,1,5,3,3,630.319641,-248.989716,0.009075,50,"#73c000"
20132,,Die Geschichte des Neutrino,workshop,4,0,1,3,8,8,-696.211182,497.055786,0.002459,50,"#ff5584"
20133,,Die späten Klaviersonaten von L.v. Beethoven,workshop,4,0,1,3,1,1,302.654755,-927.357422,0.002872,50,"#c0c0c0"
20134,,-Körper- Selbst,workshop,4,0,1,7,1,1,344.983612,-280.637421,0.002782,50,"#c0c0c0"
20135,,Zukünftige Erforschung des Weltalls durch die Astronomie,workshop,4,0,1,4,2,2,-28.850983,687.680359,0.003789,50,"#00bd94"
20136,,"(Malen, Tag und Nacht)",workshop,4,0,1,1,7,7,-705.001831,-829.862305,0.005176,50,"#00c4ff"
20137,,Körperspiel,workshop,4,0,1,2,3,3,1047.86377,28.760454,0.009733,50,"#73c000"
20138,,One World of Matter and Mind,workshop,4,0,1,4,3,3,221.090912,343.023804,0.006332,50,"#73c000"
20139,,KI,workshop,4,0,1,7,3,3,604.712341,74.402237,0.002443,50,"#73c000"
20140,,Utopie in Tiefenpsychologischer Sicht,workshop,4,0,1,7,1,1,-373.416809,-290.900879,0.002007,50,"#c0c0c0"
20141,,Zen,workshop,4,0,1,4,4,4,346.050537,99.600258,0.004756,50,"#ff8805"
20142,,Der Ordnung in der Natur auf der Spur,workshop,4,0,1,5,3,3,378.492889,-505.371429,0.009652,50,"#73c000"
20143,,Die Metamorphose der Liebe,workshop,5,0,1,4,4,4,224.72023,248.963715,0.000882,50,"#ff8805"
20144,,Neues Denken in Wissenschaft und Theologie,workshop,5,0,1,3,8,8,-666.373779,9.075051,0.009892,50,"#ff5584"
20145,,Metamorphoses of Simultaneous Perception,workshop,5,0,1,2,4,4,592.005859,797.75354,0.002306,50,"#ff8805"
20146,,Metamorphosen des Wirklichen,workshop,5,0,1,4,8,8,-624.824219,229.495163,0.000967,50,"#ff5584"
20147,,Die Verwandlung feinenergetischer Felder durch Architektur,workshop,5,0,1,2,4,4,1038.077759,480.308899,0.001353,50,"#ff8805"
