Source,Target,Type,Id,Label,Weight,attribute,MMNT-EdgeType,Color
6,47,Undirected,1883,person-person,1,,person<--->person,"#000000"
82,103,Undirected,2148,person-person,2,,person<--->person,"#000000"
6,33,Undirected,1880,person-person,1,,person<--->person,"#000000"
5,360,Undirected,1879,person-person,2,,person<--->person,"#000000"
5,356,Undirected,1878,person-person,1,,person<--->person,"#000000"
5,326,Undirected,1874,person-person,2,,person<--->person,"#000000"
5,355,Undirected,1877,person-person,1,,person<--->person,"#000000"
5,325,Undirected,1873,person-person,2,,person<--->person,"#000000"
78,330,Undirected,2101,person-person,1,,person<--->person,"#000000"
78,119,Undirected,2078,person-person,1,,person<--->person,"#000000"
82,109,Undirected,2149,person-person,1,,person<--->person,"#000000"
5,322,Undirected,1871,person-person,1,,person<--->person,"#000000"
5,312,Undirected,1870,person-person,1,,person<--->person,"#000000"
5,304,Undirected,1868,person-person,2,,person<--->person,"#000000"
44,144,Undirected,2013,person-person,1,,person<--->person,"#000000"
5,307,Undirected,1869,person-person,2,,person<--->person,"#000000"
5,289,Undirected,1866,person-person,2,,person<--->person,"#000000"
5,191,Undirected,1865,person-person,1,,person<--->person,"#000000"
33,78,Undirected,1977,person-person,1,,person<--->person,"#000000"
5,189,Undirected,1864,person-person,1,,person<--->person,"#000000"
5,185,Undirected,1862,person-person,1,,person<--->person,"#000000"
77,309,Undirected,2062,person-person,1,,person<--->person,"#000000"
34,81,Undirected,1995,person-person,1,,person<--->person,"#000000"
5,184,Undirected,1861,person-person,2,,person<--->person,"#000000"
5,176,Undirected,1860,person-person,1,,person<--->person,"#000000"
82,143,Undirected,2150,person-person,2,,person<--->person,"#000000"
82,144,Undirected,2151,person-person,1,,person<--->person,"#000000"
5,157,Undirected,1859,person-person,1,,person<--->person,"#000000"
5,155,Undirected,1858,person-person,1,,person<--->person,"#000000"
5,150,Undirected,1857,person-person,1,,person<--->person,"#000000"
5,143,Undirected,1856,person-person,2,,person<--->person,"#000000"
82,155,Undirected,2152,person-person,1,,person<--->person,"#000000"
5,132,Undirected,1854,person-person,1,,person<--->person,"#000000"
5,128,Undirected,1853,person-person,1,,person<--->person,"#000000"
80,97,Undirected,2111,person-person,2,,person<--->person,"#000000"
5,126,Undirected,1852,person-person,1,,person<--->person,"#000000"
5,122,Undirected,1851,person-person,1,,person<--->person,"#000000"
16,304,Undirected,1919,person-person,1,,person<--->person,"#000000"
5,111,Undirected,1849,person-person,2,,person<--->person,"#000000"
5,109,Undirected,1848,person-person,1,,person<--->person,"#000000"
5,105,Undirected,1847,person-person,1,,person<--->person,"#000000"
78,333,Undirected,2102,person-person,1,,person<--->person,"#000000"
82,157,Undirected,2153,person-person,1,,person<--->person,"#000000"
5,103,Undirected,1846,person-person,3,,person<--->person,"#000000"
16,307,Undirected,1920,person-person,2,,person<--->person,"#000000"
5,96,Undirected,1844,person-person,2,,person<--->person,"#000000"
5,94,Undirected,1842,person-person,1,,person<--->person,"#000000"
80,189,Undirected,2127,person-person,2,,person<--->person,"#000000"
82,184,Undirected,2154,person-person,1,,person<--->person,"#000000"
80,103,Undirected,2112,person-person,2,,person<--->person,"#000000"
5,84,Undirected,1840,person-person,2,,person<--->person,"#000000"
5,80,Undirected,1838,person-person,2,,person<--->person,"#000000"
5,82,Undirected,1839,person-person,1,,person<--->person,"#000000"
5,22,Undirected,1836,person-person,1,,person<--->person,"#000000"
78,337,Undirected,2103,person-person,1,,person<--->person,"#000000"
82,185,Undirected,2155,person-person,1,,person<--->person,"#000000"
3,19,Undirected,1833,person-person,1,,person<--->person,"#000000"
1,360,Undirected,1832,person-person,4,,person<--->person,"#000000"
1,356,Undirected,1831,person-person,2,,person<--->person,"#000000"
5,78,Undirected,1837,person-person,1,,person<--->person,"#000000"
44,178,Undirected,2014,person-person,1,,person<--->person,"#000000"
44,276,Undirected,2015,person-person,1,,person<--->person,"#000000"
44,306,Undirected,2016,person-person,2,,person<--->person,"#000000"
44,308,Undirected,2017,person-person,1,,person<--->person,"#000000"
44,333,Undirected,2018,person-person,1,,person<--->person,"#000000"
